latitude,longitude,list_of_profile_keys,list_of_profiles,list_of_reference_keys,list_of_method_keys,timestamp_min,timestamp_max,num_measurements
-90.0,-180.0,2883,South Pole Ice Core,256,4.0,2015-11-01,2015-11-01,222
-90.0,0.0,1937 / 2625 / 2626,NA / SP 15 FC1 / SP 15 FC2,190 / 250,4.0,2001-01-01,2015-12-01,4969
-89.9333,144.393799,1,US_ITASE-02-6 (SPRESSO),1,4.0,2002-01-01,2002-01-01,138
-89.54,137.04,2612 / 2613 / 2614 / 2615,USP50_density_106 / USP50_density_126 / USP50_density_nicl / USP50_density_pit,242,4.0,2016-12-01,2016-12-01,273
-88.5095,178.530807,2,US_ITASE-07-4,1,4.0,2007-01-01,2007-01-01,103
-88.022583,-82.072694,4412,BR-IC-02,258,4.0,2004-12-13,2004-12-13,117
-88.0022,-107.983299,3,US_ITASE-02-5,1,4.0,2002-01-01,2002-01-01,54
-86.84,95.309998,4,US_ITASE-03-1,1,4.0,2003-01-01,2003-01-01,19
-86.5025,-107.990303,5,US_ITASE-02-4,1,4.0,2002-01-01,2002-01-01,72
-85.999306,-81.585083,4413,BR-IC-03,259,4.0,2004-12-18,2004-12-18,144
-85.7819,145.719498,6,US_ITASE-07-3,1,4.0,2007-01-01,2007-01-01,43
-85.25,166.5,2504,Dominion Range,218,nan,1984-12-01,1984-12-01,0
-85.0005,-104.9953,7,US_ITASE-02-3,1,4.0,2002-01-01,2002-01-01,45
-84.81833,-59.634998,789,FRI38C95_04,114,4.0,1995-02-16,1995-02-16,310
-84.3951,140.630798,8,US_ITASE-07-2,1,4.0,2007-01-01,2007-01-01,52
-83.999861,-79.492056,4418,BR-TT-01,264,4.0,2015-07-01,2015-07-01,45
-83.983167,-80.117056,4414,BR-IC-04,260,4.0,2004-12-22,2004-12-22,77
-83.91833,-60.360001,799,FRI37C95_05,124,4.0,1995-02-16,1995-02-16,224
-83.5008,-104.986801,9,US_ITASE-02-2,1,4.0,2002-01-01,2002-01-01,63
-83.477778,-138.096944,2586,Upstream B,227,nan,1986-01-01,1986-01-01,0
