reference_short,start_year,end_year,num_measurements
Agosta et al.  2011 as in Wang et al. (2021),2004,2010,91
Anschutz et al.  2009 as in Wang et al. (2021),1815,2007,5
Anschutz et al.  2011 as in Wang et al. (2021),1815,2008,13
Anschütz et al. (2007a b c d e f),1966,2003,174
Aristarain et al.  1982 as in Wang et al. (2021),1955,1978,1
Aristarain et al.  1987 as in Wang et al. (2021),1955,1981,17
Aristarain et al.  2004 as in Thomas et al. (2017),1832,1997,166
Baeza et al.  1996 as in Wang et al. (2021),1970,1994,1
Banta et al. (2008),1521,2004,714
Bertler et al.  2018. as in Thomas et al. (2017),-45,2010,2056
Bishop and Walton  1981 as in Wang et al. (2021),1969,1980,4
Bliss et al  2011 as in Wang et al. (2021),2002,2011,164
Boutron and Lorius  1977; Mulvaney and Wolff  1994 as in Wang et al. (2021),1955,1972,11
Brecher  1967 as in Wang et al. (2021),1963,1966,6
Brunk  1986 as in Wang et al. (2021),1966,1985,1
Budd 1963 as in Wang et al. (2021),1957,1962,1
Budd  1982 as in Wang et al. (2021),1962,1970,8
Bull  1971; Crary et al.  1962 as in Wang et al. (2021),1957,1960,7
Clausen et al.  1979 as in Wang et al. (2021),1955,1977,69
Cole-Dai et al.  2000 as in Wang et al. (2021),1815,1987,2
Dattler et al.  2019 as in Wang et al. (2021),1980,2017,175373
Ding et al.  2011 as in Wang et al. (2021),1998,2009,7
Ding et al.  2017 as in Wang et al. (2021),1709,2001,293
Dome-F Coring Group  1998 as in Wang et al. (2021),1966,1985,1
Eicken  1994 as in Wang et al. (2021),1973,1990,2
Ekaykin et al.  2002 as in Wang et al. (2021),1941,1999,9
Ekaykin et al.  2014 as in Thomas et al. (2017),1774,1999,225
Ekaykin et al.  2016 as in Thomas et al. (2017),1640,1988,349
Ekaykin et al.  2017 as in Wang et al. (2021),1254,2009,4
Fernandoy et al. (2010a b c d),1935,2006,247
Fernandoy et al.  2010 as in Wang et al. (2021),1960,2006,69
Ferris et al. (2011),1800,2003,204
Frezzotti et al.  2004 as in Wang et al. (2021),1816,2002,41
Frezzotti et al.  2004; 2007 as in Thomas et al. (2017),1777,2004,228
Frezzotti et al.  2004; 2013 as in Wang et al. (2021),1670,2003,334
Frezzotti et al.  2004; 2014 as in Thomas et al. (2017),1854,2004,151
Frezzotti et al.  2005 as in Wang et al. (2021),1966,2002,10
Frezzotti et al.  2007 as in Wang et al. (2021),1816,2006,1719
Frezzotti et al.  2013 as in Thomas et al. (2017),1745,2003,392
Fudge et al.  2016 as in Thomas et al. (2017),-51,2005,2057
