reference_short,start_year,end_year,num_measurements
Anderson et al. (1958),1957,1957,46
Aughenbaugh et al. (1959),1957,1958,22
Brecher et al. (1964),1960,1960,26
Cameron et al. (1964),1957,1957,1
Cameron et al. (1968),1963,1965,29
Crary et al. (1962),1957,1959,54
Crary et al. (1963),1958,1959,15
Fernandoy et al. (2010),2007,2007,1
Fourteau et al. (2019),2016,2016,1
Fujiwara et al. (1971),1968,1969,23
Giovinetto et al. (1963),1961,1961,14
Goodwin et al. (1959),1958,1959,22
Graf et al. (1988),1984,1990,11
Graf et al. (1999),1990,1992,2
Inoue et al. (2023),2018,2018,1
Kojima et al. (1964),1958,1958,5
Long et al. (1961),1958,1959,26
Magand et al. (2004),2002,2021,20
Maggi et al. (1998),1994,1994,1
Martin et al. (1978),1975,1975,54
Mulvaney et al. (2017),2013,2014,21
Oerter et al. (2000),1996,1998,6
Oerter et al. (2006),1990,1990,1
P.J. et al. (1959),1957,1958,15
Peel et al. (1976),1970,1970,7
Peel et al. (1982),1975,1975,6
Picciotto et al. (1971),1965,1968,33
Pirrit et al. (1961),1959,1969,27
Potter et al. (1984),1975,1975,19
Reinwarth et al. (1981),1982,1982,1
Satow et al. (1977),1974,1975,36
Schwanck et al. (2016),2009,2009,1
Shimizu et al. (1964),1960,1962,63
Shimizu et al. (1972),1969,1970,25
Stenni et al. (2000),1992,1992,1
Stuart et al. (1961),1959,1960,12
Taldiceproject,1996,1996,1
Taylor et al. (1971),1962,1963,24
Thomas et al. (1984),1974,1978,96
Van Den Broeke et al. (1999),1996,1996,15
Xiao et al. (2008),2005,2005,1
Yamada et al. (1975),1972,1973,8
Zagorodnov et al. (2012),2010,2010,1
